film,chapter,location,detailed_location,character,race,words
The Two Towers,12: The Fate Of Merry And Pippin,Fangorn,The edge of the forest,Merry,Hobbit,3
The Two Towers,13: Treebeard,Fangorn,Fangorn forest,Grishnakh,Orc,18
The Two Towers,13: Treebeard,Fangorn,Fangorn forest,Merry,Hobbit,28
The Two Towers,13: Treebeard,Fangorn,Fangorn forest,Pippin,Hobbit,36
The Two Towers,13: Treebeard,Fangorn,Fangorn forest,Treebeard,Ent,77
The Two Towers,14: The Passage Of The Marshes,Emyn Muil,Dead Marches,Frodo,Hobbit,54
The Two Towers,14: The Passage Of The Marshes,Emyn Muil,Dead Marches,Gollum,Gollum,304
The Two Towers,14: The Passage Of The Marshes,Emyn Muil,Dead Marches,Sam,Hobbit,69
The Two Towers,15: The White Rider,Fangorn,Fangorn forest,Aragorn,Men,68
The Two Towers,15: The White Rider,Fangorn,Fangorn forest,Gandalf,Ainur,298
The Two Towers,15: The White Rider,Fangorn,Fangorn forest,Gimli,Dwarf,73
The Two Towers,15: The White Rider,Fangorn,Fangorn forest,Legolas,Elf,63
The Two Towers,16: The Song Of The Entwives,Fangorn,Fangorn forest,Merry,Hobbit,4
The Two Towers,16: The Song Of The Entwives,Fangorn,Fangorn forest,Treebeard,Ent,204
The Two Towers,17: The Heir Of Numenor,Fangorn,Fangorn forest,Aragorn,Men,7
The Two Towers,17: The Heir Of Numenor,Fangorn,Fangorn forest,Gandalf,Ainur,226
The Two Towers,18: The Black Gate Is Closed,Mordor,The Black Gate,Frodo,Hobbit,39
The Two Towers,18: The Black Gate Is Closed,Mordor,The Black Gate,Gollum,Gollum,93
The Two Towers,18: The Black Gate Is Closed,Mordor,The Black Gate,Sam,Hobbit,68
The Two Towers,19: Ent Draft,Fangorn,Fangorn forest,Merry,Hobbit,63
The Two Towers,19: Ent Draft,Fangorn,Fangorn forest,Pippin,Hobbit,122
The Two Towers,19: Ent Draft,Fangorn,Fangorn forest,Treebeard,Ent,113
The Two Towers,20: The King Of The Golden Hall,Rohan,Edoras,Aragorn,Men,18
The Two Towers,20: The King Of The Golden Hall,Rohan,Edoras,Eowyn,Men,28
The Two Towers,20: The King Of The Golden Hall,Rohan,Edoras,Gandalf,Ainur,151
The Two Towers,20: The King Of The Golden Hall,Rohan,Edoras,Gimli,Dwarf,15
The Two Towers,20: The King Of The Golden Hall,Rohan,Edoras,Grima Wormtongue,Men,166
The Two Towers,20: The King Of The Golden Hall,Rohan,Edoras,Hama,Men,21
The Two Towers,20: The King Of The Golden Hall,Rohan,Edoras,Theoden,Men,56
The Two Towers,21: The Funeral Of Theodred,Rohan,Unknown,Eowyn,Men,24
The Two Towers,22: Simbelmyne on the Burial Mounds,Rohan,Unknown,Gandalf,Ainur,28
The Two Towers,22: Simbelmyne on the Burial Mounds,Rohan,Unknown,Theoden,Men,55
The Two Towers,23: The King's Decision,Rohan,Edoras,Aragorn,Men,59
The Two Towers,23: The King's Decision,Rohan,Edoras,Eowyn,Men,24
The Two Towers,23: The King's Decision,Rohan,Edoras,Freda,Men,3
The Two Towers,23: The King's Decision,Rohan,Edoras,Gandalf,Ainur,165
The Two Towers,23: The King's Decision,Rohan,Edoras,Gimli,Dwarf,21
The Two Towers,23: The King's Decision,Rohan,Edoras,Hama,Men,29
The Two Towers,23: The King's Decision,Rohan,Edoras,Theoden,Men,49
The Two Towers,24: Brego,Rohan,Edoras,Aragorn,Men,22
The Two Towers,24: Brego,Rohan,Edoras,Eowyn,Men,36
The Two Towers,24: Brego,Rohan,Edoras,Rohan Warrior,Men,13
The Two Towers,25: The Ring Of Barahir,Isengard,Orthanc,Grima Wormtongue,Men,51
The Two Towers,25: The Ring Of Barahir,Isengard,Orthanc,Saruman,Ainur,68
The Two Towers,25: The Ring Of Barahir,Rohan,Edoras,Theoden,Men,18
The Two Towers,26: A Daughter Of Kings,Rohan,Edoras,Aragorn,Men,31
The Two Towers,26: A Daughter Of Kings,Rohan,Edoras,Eowyn,Men,45
The Two Towers,27: Exodus From Edoras,Rohan,The plains,Grima Wormtongue,Men,52
The Two Towers,27: Exodus From Edoras,Rohan,The plains,Saruman,Ainur,4
The Two Towers,28: The Forests Of Ithilien,Gondor,The Forests of Ithilien,Frodo,Hobbit,81
The Two Towers,28: The Forests Of Ithilien,Gondor,The Forests of Ithilien,Sam,Hobbit,87
The Two Towers,29: Gollum and Smeagol ,Gondor,The Forests of Ithilien,Gollum,Gollum,73
The Two Towers,29: Gollum and Smeagol ,Gondor,The Forests of Ithilien,Smeagol,Gollum,66
The Two Towers,30: Of Herbs And Stewed Rabbit,Gondor,The Forests of Ithilien,Faramir,Men,76
The Two Towers,30: Of Herbs And Stewed Rabbit,Gondor,The Forests of Ithilien,Frodo,Hobbit,39
The Two Towers,30: Of Herbs And Stewed Rabbit,Gondor,The Forests of Ithilien,Sam,Hobbit,91
The Two Towers,30: Of Herbs And Stewed Rabbit,Gondor,The Forests of Ithilien,Smeagol,Gollum,99
The Two Towers,31: Dwarf Women,Rohan,The plains,Aragorn,Men,3
The Two Towers,31: Dwarf Women,Rohan,The plains,Gimli,Dwarf,68
The Two Towers,32: One of the Dunedain,Rohan,The plains,Aragorn,Men,33
The Two Towers,32: One of the Dunedain,Rohan,The plains,Eowyn,Men,76
The Two Towers,32: One of the Dunedain,Rohan,The plains,Gimli,Dwarf,6
The Two Towers,32: One of the Dunedain,Rohan,The plains,Theoden,Men,59
The Two Towers,33: The Evenstar,Rivendell,Unknown,Aragorn,Men,84
The Two Towers,33: The Evenstar,Rivendell,Unknown,Arwen,Elf,119
The Two Towers,33: The Evenstar,Rivendell,Unknown,Elrond,Elf,55
The Two Towers,33: The Evenstar,Rohan,The plains,Aragorn,Men,15
The Two Towers,33: The Evenstar,Rohan,The plains,Eowyn,Men,11
The Two Towers,34: The Wolves Of Isengard,Rohan,The plains,Aragorn,Men,9
The Two Towers,34: The Wolves Of Isengard,Rohan,The plains,Eowyn,Men,10
The Two Towers,34: The Wolves Of Isengard,Rohan,The plains,Gamling,Men,5
The Two Towers,34: The Wolves Of Isengard,Rohan,The plains,Gimli,Dwarf,45
The Two Towers,34: The Wolves Of Isengard,Rohan,The plains,Hama,Men,3
The Two Towers,34: The Wolves Of Isengard,Rohan,The plains,Legolas,Elf,5
The Two Towers,34: The Wolves Of Isengard,Rohan,The plains,Snaga,Orc,10
The Two Towers,34: The Wolves Of Isengard,Rohan,The plains,Theoden,Men,50
The Two Towers,35: Helm's Deep,Rohan,Helm's Deep,Eowyn,Men,22
The Two Towers,35: Helm's Deep,Rohan,Helm's Deep,Freda,Men,1
The Two Towers,35: Helm's Deep,Rohan,Helm's Deep,Gamling,Men,14
The Two Towers,35: Helm's Deep,Rohan,Helm's Deep,Gimli,Dwarf,4
The Two Towers,35: Helm's Deep,Rohan,Helm's Deep,Morwen,Men,2
The Two Towers,35: Helm's Deep,Rohan,Helm's Deep,Rohan Maiden,Men,15
The Two Towers,35: Helm's Deep,Rohan,Helm's Deep,Rohan Warrior,Men,22
The Two Towers,35: Helm's Deep,Rohan,Helm's Deep,Theoden,Men,49
The Two Towers,36: Isengard Unleashed,Isengard,Orthanc,Grima Wormtongue,Men,66
The Two Towers,36: Isengard Unleashed,Fangorn,Fangorn forest,Merry,Hobbit,8
The Two Towers,36: Isengard Unleashed,Fangorn,Fangorn forest,Pippin,Hobbit,9
The Two Towers,36: Isengard Unleashed,Isengard,Orthanc,Saruman,Ainur,50
The Two Towers,36: Isengard Unleashed,Fangorn,Fangorn forest,Treebeard,Ent,37
The Two Towers,37: The Grace Of The Valar,Rohan,Unknown,Aragorn,Men,1
The Two Towers,37: The Grace Of The Valar,Voiceover,Unknown,Arwen,Elf,8
The Two Towers,38: Arwen's Fate,Rivendell,Unknown,Arwen,Elf,14
The Two Towers,38: Arwen's Fate,Rivendell,Unknown,Elrond,Elf,188
The Two Towers,39: The Story Foreseen From Lorien,Voiceover,Unknown,Galadriel,Elf,190
The Two Towers,40: The Windows On The West,Gondor,Henneth Annun,Faramir,Men,143
The Two Towers,40: The Windows On The West,Gondor,Henneth Annun,Frodo,Hobbit,75
The Two Towers,40: The Windows On The West,Gondor,Henneth Annun,Gondor Man,Men,63
The Two Towers,40: The Windows On The West,Gondor,Henneth Annun,Sam,Hobbit,8
The Two Towers,41: Sons Of The Steward,Gondor,Osgiliath,Boromir,Men,132
The Two Towers,41: Sons Of The Steward,Gondor,Osgiliath,Crowd,Men,6
The Two Towers,41: Sons Of The Steward,Gondor,Osgiliath,Denethor,Men,250
The Two Towers,41: Sons Of The Steward,Gondor,Osgiliath,Faramir,Men,35
The Two Towers,42: The Forbidden Pool,Gondor,Henneth Annun,Faramir,Men,92
The Two Towers,42: The Forbidden Pool,Gondor,Henneth Annun,Frodo,Hobbit,89
The Two Towers,42: The Forbidden Pool,Gondor,Henneth Annun,Gollum,Gollum,35
The Two Towers,42: The Forbidden Pool,Gondor,Henneth Annun,Gondor Man,Men,16
The Two Towers,42: The Forbidden Pool,Gondor,Henneth Annun,Sam,Hobbit,64
The Two Towers,42: The Forbidden Pool,Gondor,Henneth Annun,Smeagol,Gollum,55
The Two Towers,43: Aragorn's Return,Rohan,Helm's Deep,Aragorn,Men,69
The Two Towers,43: Aragorn's Return,Rohan,Helm's Deep,Gamling,Men,9
The Two Towers,43: Aragorn's Return,Rohan,Helm's Deep,Gimli,Dwarf,51
The Two Towers,43: Aragorn's Return,Rohan,Helm's Deep,Legolas,Elf,5
The Two Towers,43: Aragorn's Return,Rohan,Helm's Deep,Rohan Maiden,Men,2
The Two Towers,43: Aragorn's Return,Rohan,Helm's Deep,Theoden,Men,206
The Two Towers,44: Entmoot,Fangorn,Fangorn forest,Merry,Hobbit,6
The Two Towers,44: Entmoot,Fangorn,Fangorn forest,Treebeard,Ent,55
The Two Towers,45: The Glittering Caves,Rohan,Helm's Deep,Aragorn,Men,78
The Two Towers,45: The Glittering Caves,Rohan,Helm's Deep,Eowyn,Men,65
The Two Towers,45: The Glittering Caves,Rohan,Helm's Deep,Gimli,Dwarf,13
The Two Towers,45: The Glittering Caves,Rohan,Helm's Deep,Legolas,Elf,36
The Two Towers,45: The Glittering Caves,Rohan,Helm's Deep,Rohan Warrior,Men,12
The Two Towers,46: Where Is The Horse And The Rider,Rohan,Helm's Deep,Gamling,Men,30
The Two Towers,46: Where Is The Horse And The Rider,Rohan,Helm's Deep,Theoden,Men,64
The Two Towers,47: Don't Be Hasty Master Meriadoc!,Fangorn,Fangorn forest,Merry,Hobbit,18
The Two Towers,47: Don't Be Hasty Master Meriadoc!,Fangorn,Fangorn forest,Pippin,Hobbit,7
The Two Towers,47: Don't Be Hasty Master Meriadoc!,Fangorn,Fangorn forest,Treebeard,Ent,12
The Two Towers,48: The Host Of The Eldar,Rohan,Helm's Deep,Aragorn,Men,34
The Two Towers,48: The Host Of The Eldar,Rohan,Helm's Deep,Gimli,Dwarf,14
The Two Towers,48: The Host Of The Eldar,Rohan,Helm's Deep,Haldir,Elf,37
The Two Towers,48: The Host Of The Eldar,Rohan,Helm's Deep,Haleth,Men,23
The Two Towers,48: The Host Of The Eldar,Rohan,Helm's Deep,Legolas,Elf,24
The Two Towers,48: The Host Of The Eldar,Rohan,Helm's Deep,Rohan Warrior,Men,17
The Two Towers,48: The Host Of The Eldar,Rohan,Helm's Deep,Theoden,Men,4
The Two Towers,49: The Battle Of The Hornburg,Rohan,Helm's Deep,Aragorn,Men,18
The Two Towers,49: The Battle Of The Hornburg,Rohan,Helm's Deep,Gamling,Men,1
The Two Towers,49: The Battle Of The Hornburg,Rohan,Helm's Deep,Gimli,Dwarf,50
The Two Towers,49: The Battle Of The Hornburg,Rohan,Helm's Deep,Legolas,Elf,37
The Two Towers,49: The Battle Of The Hornburg,Rohan,Helm's Deep,Rohan Warrior,Men,1
The Two Towers,49: The Battle Of The Hornburg,Rohan,Helm's Deep,Theoden,Men,7
The Two Towers,50: Old Entish,Fangorn,Fangorn forest,Merry,Hobbit,30
The Two Towers,50: Old Entish,Fangorn,Fangorn forest,Pippin,Hobbit,5
The Two Towers,50: Old Entish,Fangorn,Fangorn forest,Treebeard,Ent,64
The Two Towers,51: The Breach Of The Deeping Wall,Rohan,Helm's Deep,Aragorn,Men,12
The Two Towers,51: The Breach Of The Deeping Wall,Rohan,Helm's Deep,Gimli,Dwarf,6
The Two Towers,51: The Breach Of The Deeping Wall,Rohan,Helm's Deep,Theoden,Men,17
The Two Towers,52: The Entmoot Decides,Fangorn,Fangorn forest,Merry,Hobbit,58
The Two Towers,52: The Entmoot Decides,Fangorn,Fangorn forest,Pippin,Hobbit,29
The Two Towers,52: The Entmoot Decides,Fangorn,Fangorn forest,Treebeard,Ent,42
The Two Towers,53: The Retreat To The Hornburg,Rohan,Helm's Deep,Aragorn,Men,31
The Two Towers,53: The Retreat To The Hornburg,Rohan,Helm's Deep,Gamling,Men,6
The Two Towers,53: The Retreat To The Hornburg,Rohan,Helm's Deep,Gimli,Dwarf,34
The Two Towers,53: The Retreat To The Hornburg,Rohan,Helm's Deep,Legolas,Elf,1
The Two Towers,53: The Retreat To The Hornburg,Rohan,Helm's Deep,Rohan Warrior,Men,22
The Two Towers,53: The Retreat To The Hornburg,Rohan,Helm's Deep,Theoden,Men,58
The Two Towers,54: Master Peregrin's Plan,Fangorn,Fangorn forest,Merry,Hobbit,6
The Two Towers,54: Master Peregrin's Plan,Fangorn,Fangorn forest,Pippin,Hobbit,46
The Two Towers,54: Master Peregrin's Plan,Fangorn,Fangorn forest,Treebeard,Ent,64
The Two Towers,55: Osgiliath,Gondor,Osgiliath,Faramir,Men,1
The Two Towers,55: Osgiliath,Gondor,Osgiliath,Frodo,Hobbit,23
The Two Towers,55: Osgiliath,Gondor,Osgiliath,Gondor Man,Men,6
The Two Towers,56: The Last March Of The Ents,Fangorn,The edge of the forest,Merry,Hobbit,5
The Two Towers,56: The Last March Of The Ents,Fangorn,The edge of the forest,Pippin,Hobbit,8
The Two Towers,56: The Last March Of The Ents,Fangorn,The edge of the forest,Treebeard,Ent,105
The Two Towers,57: The Nazgul Attack,Gondor,Osgiliath,Faramir,Men,31
The Two Towers,57: The Nazgul Attack,Gondor,Osgiliath,Frodo,Hobbit,15
The Two Towers,57: The Nazgul Attack,Gondor,Osgiliath,Gondor Man,Men,20
The Two Towers,57: The Nazgul Attack,Gondor,Osgiliath,Sam,Hobbit,53
The Two Towers,58: Forth Eorlingas,Rohan,Helm's Deep,Aragorn,Men,73
The Two Towers,58: Forth Eorlingas,Rohan,Helm's Deep,Eomer,Men,6
The Two Towers,58: Forth Eorlingas,Rohan,Helm's Deep,Gamling,Men,20
The Two Towers,58: Forth Eorlingas,Rohan,Helm's Deep,Gandalf,Ainur,21
The Two Towers,58: Forth Eorlingas,Rohan,Helm's Deep,Gimli,Dwarf,5
The Two Towers,58: Forth Eorlingas,Rohan,Helm's Deep,Rohan Maiden,Men,7
The Two Towers,58: Forth Eorlingas,Rohan,Helm's Deep,Theoden,Men,63
The Two Towers,59: The Flooding Of Isengard,Isengard,Isengard Valley,Merry,Hobbit,3
The Two Towers,59: The Flooding Of Isengard,Isengard,Isengard Valley,Pippin,Hobbit,1
The Two Towers,59: The Flooding Of Isengard,Isengard,Isengard Valley,Treebeard,Ent,15
The Two Towers,60: The Tales That Really Mattered,Gondor,Osgiliath,Faramir,Men,16
The Two Towers,60: The Tales That Really Mattered,Gondor,Osgiliath,Frodo,Hobbit,12
The Two Towers,60: The Tales That Really Mattered,Gondor,Osgiliath,Gondor Man,Men,22
The Two Towers,60: The Tales That Really Mattered,Gondor,Osgiliath,Sam,Hobbit,186
The Two Towers,60: The Tales That Really Mattered,Rohan,Helm's Deep,Theoden,Men,4
The Two Towers,61: Fangorn Comes To Helm's Deep,Fangorn,The edge of the forest,Eomer,Men,10
The Two Towers,62: The Final Tally,Rohan,Helm's Deep,Gimli,Dwarf,35
The Two Towers,62: The Final Tally,Rohan,Helm's Deep,Legolas,Elf,7
The Two Towers,63: Flotsam And Jetsam,Isengard,Isengard Valley,Merry,Hobbit,77
The Two Towers,63: Flotsam And Jetsam,Isengard,Isengard Valley,Pippin,Hobbit,56
The Two Towers,64: Farewell To Faramir,Gondor,Osgiliath,Faramir,Men,95
The Two Towers,64: Farewell To Faramir,Gondor,Osgiliath,Frodo,Hobbit,18
The Two Towers,64: Farewell To Faramir,Gondor,Osgiliath,Gollum,Gollum,32
The Two Towers,64: Farewell To Faramir,Gondor,Osgiliath,Sam,Hobbit,54
The Two Towers,65: The Battle For Middle Earth Is About To Begin,Gondor,Osgiliath,Frodo,Hobbit,30
The Two Towers,65: The Battle For Middle Earth Is About To Begin,Rohan,Helm's Deep,Gandalf,Ainur,36
The Two Towers,65: The Battle For Middle Earth Is About To Begin,Gondor,Osgiliath,Sam,Hobbit,69
The Two Towers,66: Gollum's Plan,Gondor,Osgiliath,Frodo,Hobbit,11
The Two Towers,66: Gollum's Plan,Gondor,Osgiliath,Gollum,Gollum,75
The Two Towers,66: Gollum's Plan,Gondor,Osgiliath,Sam,Hobbit,12
The Two Towers,66: Gollum's Plan,Gondor,Osgiliath,Smeagol,Gollum,53
The Return Of The King,01: The Finding Of The Ring,The Shire,River Anduin,Deagol,Hobbit,13
The Return Of The King,01: The Finding Of The Ring,Misty Mountains,Gollum's Cave,Gollum,Gollum,3
The Return Of The King,01: The Finding Of The Ring,The Shire,River Anduin,Smeagol,Gollum,47
The Return Of The King,01: The Finding Of The Ring,Misty Mountains,Gollum's Cave,Smeagol,Gollum,51
The Return Of The King,02: Journey To The Cross-roads,Gondor,Morgul Vale,Frodo,Hobbit,18
The Return Of The King,02: Journey To The Cross-roads,Gondor,Morgul Vale,Gollum,Gollum,41
The Return Of The King,02: Journey To The Cross-roads,Gondor,Morgul Vale,Sam,Hobbit,77
The Return Of The King,03: The Road To Isengard,Isengard,Isengard Valley,Gandalf,Ainur,1
The Return Of The King,03: The Road To Isengard,Isengard,Isengard Valley,Gimli,Dwarf,22
The Return Of The King,03: The Road To Isengard,Isengard,Isengard Valley,Merry,Hobbit,36
The Return Of The King,03: The Road To Isengard,Isengard,Isengard Valley,Pippin,Hobbit,51
The Return Of The King,04: The Voice Of Saruman,Isengard,Isengard Valley,Aragorn,Men,3
The Return Of The King,04: The Voice Of Saruman,Isengard,Isengard Valley,Gandalf,Ainur,111
The Return Of The King,04: The Voice Of Saruman,Isengard,Isengard Valley,Gimli,Dwarf,23
The Return Of The King,04: The Voice Of Saruman,Isengard,Orthanc,Grima Wormtongue,Men,2
The Return Of The King,04: The Voice Of Saruman,Isengard,Orthanc,Saruman,Ainur,301
The Return Of The King,04: The Voice Of Saruman,Isengard,Isengard Valley,Theoden,Men,98
The Return Of The King,04: The Voice Of Saruman,Isengard,Isengard Valley,Treebeard,Ent,50
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Aragorn,Men,20
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Eomer,Men,4
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Eowyn,Men,8
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Gandalf,Ainur,15
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Gimli,Dwarf,40
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Legolas,Elf,21
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Merry,Hobbit,78
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Pippin,Hobbit,73
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Rohan Warrior,Men,1
The Return Of The King,05: Return To Edoras,Rohan,Edoras,Theoden,Men,52
The Return Of The King,06: Gollum's Villany,Gondor,Morgul Vale,Frodo,Hobbit,46
The Return Of The King,06: Gollum's Villany,Gondor,Morgul Vale,Gollum,Gollum,149
The Return Of The King,06: Gollum's Villany,Gondor,Morgul Vale,Sam,Hobbit,65
The Return Of The King,06: Gollum's Villany,Gondor,Morgul Vale,Smeagol,Gollum,83
The Return Of The King,07: Eowyn's Dream,Rohan,Edoras,Aragorn,Men,13
The Return Of The King,07: Eowyn's Dream,Rohan,Edoras,Eowyn,Men,50
The Return Of The King,08: The Palantir,Rohan,Edoras,Aragorn,Men,20
The Return Of The King,08: The Palantir,Rohan,Edoras,Gandalf,Ainur,255
The Return Of The King,08: The Palantir,Rohan,Edoras,Legolas,Elf,22
The Return Of The King,08: The Palantir,Rohan,Edoras,Merry,Hobbit,135
The Return Of The King,08: The Palantir,Rohan,Edoras,Pippin,Hobbit,104
The Return Of The King,08: The Palantir,Rohan,Edoras,Theoden,Men,22
The Return Of The King,09: Arwen's Vision,Voiceover,Unknown,Elrond,Elf,36
The Return Of The King,09: Arwen's Vision,Rivendell,Rivendell Forest,Figwit,Elf,7
The Return Of The King,10: The Reforging Of Narsil,Rivendell,Elrond's Balcony,Arwen,Elf,78
The Return Of The King,10: The Reforging Of Narsil,Rivendell,Elrond's Balcony,Elrond,Elf,18
The Return Of The King,10: The Reforging Of Narsil,Rivendell,Arwen's Chamber,Arwen,Elf,22
The Return Of The King,10: The Reforging Of Narsil,Rivendell,Arwen's Chamber,Elrond,Elf,12
The Return Of The King,11: Minas Tirith,Gondor,Minas Tirith,Denethor,Men,151
The Return Of The King,11: Minas Tirith,Gondor,Minas Tirith,Gandalf,Ainur,202
The Return Of The King,11: Minas Tirith,Gondor,Minas Tirith,Pippin,Hobbit,36
The Return Of The King,12: The Decline Of Gondor,Gondor,Minas Tirith,Gandalf,Ainur,268
The Return Of The King,12: The Decline Of Gondor,Gondor,Minas Tirith,Pippin,Hobbit,22
The Return Of The King,13: Cross-roads Of The Fallen King,Gondor,Morgul Vale,Frodo,Hobbit,30
The Return Of The King,13: Cross-roads Of The Fallen King,Gondor,Morgul Vale,Gollum,Gollum,13
The Return Of The King,13: Cross-roads Of The Fallen King,Gondor,Morgul Vale,Sam,Hobbit,56
The Return Of The King,14: The Deep Breath Before The Plunge,Gondor,Minas Tirith,Gandalf,Ainur,163
The Return Of The King,14: The Deep Breath Before The Plunge,Gondor,Minas Tirith,Gondor Man,Men,2
The Return Of The King,14: The Deep Breath Before The Plunge,Gondor,Minas Tirith,Pippin,Hobbit,75
The Return Of The King,15: Minas Morgul,Mordor,Minas Morgul,Frodo,Hobbit,8
The Return Of The King,15: Minas Morgul,Gondor,Minas Tirith,Gandalf,Ainur,20
The Return Of The King,15: Minas Morgul,Mordor,Minas Morgul,Gollum,Gollum,50
The Return Of The King,15: Minas Morgul,Mordor,Minas Morgul,Sam,Hobbit,5
The Return Of The King,16: Sam's Warning,Mordor,Minas Morgul,Frodo,Hobbit,4
The Return Of The King,16: Sam's Warning,Mordor,Minas Morgul,Gollum,Gollum,13
The Return Of The King,16: Sam's Warning,Mordor,Minas Morgul,Sam,Hobbit,61
The Return Of The King,17: Pippin's Task,Gondor,Minas Tirith,Gandalf,Ainur,30
The Return Of The King,18: Osgiliath Invaded,Gondor,Osgiliath,Damrod,Men,3
The Return Of The King,18: Osgiliath Invaded,Gondor,Osgiliath,Faramir,Men,18
The Return Of The King,18: Osgiliath Invaded,Gondor,Osgiliath,Gondor Man,Men,7
The Return Of The King,18: Osgiliath Invaded,Gondor,Osgiliath,Gothmog,Orc,6
The Return Of The King,18: Osgiliath Invaded,Gondor,Osgiliath,Madril,Men,28
The Return Of The King,19: The Lighting Of The Beacons,Gondor,Minas Tirith,Gandalf,Ainur,5
The Return Of The King,19: The Lighting Of The Beacons,Gondor,Unknown,Gondor Man,Men,10
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Aragorn,Men,18
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Eomer,Men,21
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Eowyn,Men,36
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Gamling,Men,4
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Gimli,Dwarf,15
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Legolas,Elf,19
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Merry,Hobbit,16
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Rohan Warrior,Men,3
The Return Of The King,20: Theoren's Decision,Rohan,Edoras,Theoden,Men,73
The Return Of The King,21: The Fall of Osgiliath,Gondor,Osgiliath,Damrod,Men,1
The Return Of The King,21: The Fall of Osgiliath,Gondor,Osgiliath,Faramir,Men,29
The Return Of The King,21: The Fall of Osgiliath,Gondor,Minas Tirith,Faramir,Men,37
The Return Of The King,21: The Fall of Osgiliath,Gondor,Minas Tirith,Gandalf,Ainur,34
The Return Of The King,21: The Fall of Osgiliath,Gondor,Minas Tirith,Gondor Man,Men,17
The Return Of The King,21: The Fall of Osgiliath,Gondor,Osgiliath,Gothmog,Orc,13
The Return Of The King,21: The Fall of Osgiliath,Gondor,Minas Tirith,Irolas,Men,13
The Return Of The King,21: The Fall of Osgiliath,Gondor,Osgiliath,Madril,Men,8
The Return Of The King,21: The Fall of Osgiliath,Gondor,Minas Tirith,Pippin,Hobbit,15
The Return Of The King,22: The Wizard's Pupil,Gondor,Minas Tirith,Denethor,Men,114
The Return Of The King,22: The Wizard's Pupil,Gondor,Minas Tirith,Faramir,Men,72
The Return Of The King,23: The Stairs Of Cirith Ungol,Mordor,Cirith Ungol,Gollum,Gollum,76
The Return Of The King,23: The Stairs Of Cirith Ungol,Mordor,Cirith Ungol,Sam,Hobbit,8
The Return Of The King,24: Courage Is The Best Defense,Gondor,Minas Tirith,Gandalf,Ainur,9
The Return Of The King,24: Courage Is The Best Defense,Gondor,Minas Tirith,Gondor Man,Men,9
The Return Of The King,24: Courage Is The Best Defense,Gondor,Osgiliath,Gothmog,Orc,4
The Return Of The King,24: Courage Is The Best Defense,Gondor,Osgiliath,Witch King,Nazgul,21
The Return Of The King,25: Peregrin Of The Tower Guard,Gondor,Minas Tirith,Faramir,Men,80
The Return Of The King,25: Peregrin Of The Tower Guard,Gondor,Minas Tirith,Pippin,Hobbit,66
The Return Of The King,26: Allegiance To Denethor,Gondor,Minas Tirith,Denethor,Men,89
The Return Of The King,26: Allegiance To Denethor,Gondor,Minas Tirith,Faramir,Men,53
The Return Of The King,26: Allegiance To Denethor,Gondor,Minas Tirith,Pippin,Hobbit,32
The Return Of The King,27: The Parting Of Sam & Frodo,Mordor,Cirith Ungol,Frodo,Hobbit,43
The Return Of The King,27: The Parting Of Sam & Frodo,Mordor,Cirith Ungol,Gollum,Gollum,79
The Return Of The King,27: The Parting Of Sam & Frodo,Mordor,Cirith Ungol,Sam,Hobbit,184
The Return Of The King,28: The Sacrifice Of Faramir,Gondor,Minas Tirith,Denethor,Men,20
The Return Of The King,28: The Sacrifice Of Faramir,Gondor,Minas Tirith,Faramir,Men,31
The Return Of The King,28: The Sacrifice Of Faramir,Gondor,Minas Tirith,Gandalf,Ainur,29
The Return Of The King,28: The Sacrifice Of Faramir,Gondor,Minas Tirith,Orc,Orc,5
The Return Of The King,28: The Sacrifice Of Faramir,Gondor,Minas Tirith,Pippin,Hobbit,59
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Aragorn,Men,26
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Eomer,Men,89
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Eowyn,Men,56
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Gimli,Dwarf,12
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Grimhold,Men,9
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Legolas,Elf,21
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Merry,Hobbit,12
The Return Of The King,29: Marshalling At Dunharrow,Rohan,Dunharrow,Rohan Warrior,Men,30
